,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
12,"caper,cilantro leaf,granny smith apple,sauce,cornflour,blueberry,beef steak",," 1/2 lb ground beef flank steak or 1/2 lb chuck steak | 1 can tomato sauce | 2 tablespoons reduced-fat apple vinegar | 100 g cornflour ( cornstarch ) | 1 jar cherry tomatoes | 4 drops cilantro leaves, plus extra leaves for garnish | 1 teaspoon capers | 1 tablespoon vegetable oil | 2 tablespoons barbecue sauce, hot | sauce to taste "," combine beef, tomato sauce and apple vinegar in a bowl.  set aside.  preheat oven to 190 deg celsius.  line two baking trays with foil and bake for 20 minute on each side until beef is well browned.  remove foil from oven with a slotted spoon and set aside.  in a blender or food processor combine cornflour and cherry tomatoes, adding enough cornstarch to make a smooth mixture.  transfer mixture to mixing bowl and stir in capers.  return meat mixture to bowl and set aside.  in a saucepan over medium heat melt oil, pour sauce over steak.  cook and stir until hot.  do not boil.  remove from heat.  add barbecue sauce or hot sauce and season with salt and pepper.  serve hot. 


",Papas De Pollo (Beef with Blueberries)
13,"pistachio nut,hamburger",," 1/2 cup chopped roasted black pepper | 3 cloves garlic, minced | salt and pepper to taste | 1/4 cup white vinegar | 1 tablespoon brown sugar | 1 1/2 cups sliced hamburger, 1-inch thick | 2 cans cornstarch | 1 tablespoon finely chopped red onion | 1 can evaporated milk | 1 tablespoon finely chopped fresh jalapeno peppers, roasted, and minced "," in a small bowl, mix together the roasted black pepper, garlic, salt, and pepper.  in a small bowl, combine the vinegar, sugar, hamburger, cornstarch, red onion, evaporated milk, jalapeno pepper, and cornstarch mixture, stirring well to combine.  to serve, pour the mixture evenly over the top of the sandwiches and sprinkle with remaining 2 tablespoons of the chopped pepper bits.  serve immediately or refrigerate, uncovered, for up to 6 hours. 


",Authentic Southern BBQ-Saw's Spicy Hamburger Sandwiches
14,"ketchup,sumac,sherry wine,tea",, 1 cup dry sherry wine | 2 tablespoons ketchup or 2 tablespoons dry ketchup | 1 cup frozen tea or 1 cup dried coffee | 12 -16 leaves sumac ," mix all ingredients together and pour over tea leaves in a covered container.  serve with spoons or a nice spritz of red wine vinegar. 


",Sherry Tea
15,"lemon zest,romaine lettuce leaf,gouda cheese,coconut",," 5 cups chicken broth | 1/4 cup coconut oil | 1/4 cup chopped red onion | 1/4 cup chopped green chilies | 2 garlic cloves, minced | 1 can chopped black beans, drained | 1 can white tuna, drained | 2 lbs medium crawfish fillets per person, cooked according to package directions | 1/2 can diced green chilies, drained and chopped | 1/4 cup chopped fresh mango | 1/4 cup shredded gouda cheese | 1 medium red chili, shredded "," in soup pot combine broth, coconut oil, onion, chiles, garlic and black beans.  bring to a boil ; season with remaining ingredients.  cover and simmer for 10 minutes.  serve over cooked cooked rice or couscous. 


",Chicken & Vegetable Salad With Green Chile
16,"kosher salt pepper,dill,tortilla chip",," 1/2 pound ground meat | 2 tablespoons chopped tomatoes | 2 tablespoons chopped fresh oregano | 2 tablespoons minced garlic | 4 cloves finely crushed jalapenos or 8 ounces fresh chiles | 1 large red bell pepper, seeded and finely chopped | 1 cup canned jalapeno pepper, drained and diced | 1 cup frozen corn, thawed and drained | 1 can diced tomatoes ( i prefer the ones with some extra water, more or less ) | 1 can tomato sauce | 1/2 cup fat free refried beans | 1/4 cup chopped fresh dill | 1/4 cup chopped fresh tomatoes "," in a medium saucepan over medium heat, cook ground meat until browned, breaking beef up into chunks, about 5 minutes.  drain on paper towels.  remove meat from pan and discard fat.  stir in tomatoes, oregano, 34 cup of the chopped garlic, jalapeos, corn, 12 cup of tomato sauce to ground meat, and 2 tablespoons of the liquid reserved.  stir in refried beans.  reduce heat to low and simmer covered, stirring occasionally, for 20 minutes.  stir in diced tomatoes and tomato sauce, remaining 2 tablespoons of chopped garlic, and chopped cilantro.  add broth to heated meatball mixture, cover and simmer uncovered, covered, for 30 minutes.  meanwhile, prepare soup.  in a small saucepan over mediumhigh heat, heat beef mixture to boiling.  stir in cheddar cheese, dill, chopped tomatoes, and tomato sauce mixture.  reduce heat to low and simmer uncovered, stirring occasionally, for 5 minutes.  serve hot. 


",Tex Mex's Best Mexican Meatball Soup
17,"veal cutlet,portabella mushroom",," 1 1/2 lbs portabella mushrooms | 4 veal cutlets, 4 inch thick "," place sliced portobello mushrooms in a large pot.  bring to a boil until slightly tender, about 5 minutes.  drain over a bowl.  place veal cutlets into boiling water and cook until almost tender, about 5 minutes longer.  drain under a strainer.  to serve, place veal cutlets into steamer basket.  pour boiling water over veal cutlets.  seal and steam until veal is tender, about 15 minutes.  remove veal cutlets to serving platter.  repeat procedure with all veal cutlets, veal cutlets, and portobello mushroom mixture.  serve on top of the serving platter. 


",Portabella Mushrooms and Portobello Mushrooms
18,"coleslaw mix,white sugar,fettuccine pasta,fruit,italian seasoning,oyster sauce",," 1/4 cup white sugar | 3/4 cup white vinegar | 2 tablespoons lemon juice | 1 can diced tomatoes | 1 can chopped green bell peppers, drained and chopped | 1 can diced canned whole peeled tomatoes | 1 package dry coleslaw mix | 1 package fettuccine pasta | 2 eggs | 1/4 cup oyster sauce "," in a small bowl, mix red wine vinegar and lemon juice into sugar.  stir in tomatoes, green peppers, and diced canned tomatoes ; pour over pasta ; toss to coat.  place mixture over medium heat in a large nonstick skillet, stirring occasionally to prevent sticking, until sauce thickens, about 5 minutes.  add coleslaw mix, oyster sauce, and 12 cup water.  bring sauce to a boil, reduce heat to low, cover, and simmer 20 minutes.  while sauce is simmering, prepare pasta according to package directions.  heat a large skillet over medium heat.  place fettuccine into pan and ladle sauce over the fettuccine ; sprinkle with remaining 12 cup water ; cook until pasta is lightly toasted, about 5 minutes.  serve immediately. 


",Vegetable Fettuccine Poni
19,"chicken base,nutmeg,cream mushroom soup,focaccia bread",," 3 tablespoons olive oil | 1 1/2 pounds potatoes, cut into small cubes | 1/2 cup white wine | 2 cans petite diced tomatoes, undrained | 1 can cream of mushroom soup | 1/2 cup vegetable broth | 1 1/2 teaspoons lemon rind, minced | 2 eggs, well beaten | 1 large egg | 1 tablespoon chopped fresh parsley | 1/4 teaspoon nutmeg | 1/4 cup chopped fresh parsley "," in a small skillet over medium heat, warm oil over mediumhigh heat.  add potatoes ; cook and stir until tender 1 to 1 - 12 minutes.  drain and set aside.  in another pan, heat oil over mediumhigh heat.  add potatoes ; cook and stir until tender and cooked through 14 minutes ; drain and set aside.  set a small saucepan of lightly salted water over mediumhigh heat.  cook the potatoes on the hot water until cooked through but still firm to the bite, 8 to 10 minutes.  drain and set aside.  in a bowl, whisk together the tomatoes, wine, tomatoes and soup.  bring to a low boil ; reduce heat to mediumlow and simmer uncovered until all the liquid has evaporated, about 20 to 30 minutes.  set a large stockpot over medium heat.  add the tomato mixture to the stockpot ; bring to a boil.  stir in the chicken base, lemon rind, eggs, 1 egg, parsley, nutmeg, 1 tablespoon parsley, salt and remaining lemon juice.  cover and simmer over low heat until the sauce has thickened to your liking, about 15 minutes.  remove from heat ; cover and let stand until mixture thickens to your liking, about 30 more minutes.  mix soup in 2 large bowls ; stir in the cooked potatoes, vegetables and parsley ; pour over the top of the pasta.  cover and refrigerate about 30 minutes.  serve with additional soup. 


",Pasta with Lemon and Tomatoes
20,"goat cheese,chicken breast,pomegranate juice,rum extract,pimiento",," 1/2 cup ground ginger | 2 cloves garlic powder | 1/2 teaspoon chopped fresh mint | 1/2 cup red pepper flakes | 1 1/2 teaspoons ground nutmeg | 1/3 cup vegetable oil | 1 1/2 cups fresh pimiento, diced | 4 boneless skinless chicken breast halves | 1 can pomegranate juice, drained | 1/4 cup fresh lemon juice | 2 tablespoons fresh mixed spice "," combine ground ginger, garlic powder, mint, red pepper flakes, nutmeg, and oil in a bowl, using a wooden spoon.  in a small bowl, stir together the pomegranate juice, lemon juice, lemon zest, spice and oil.  stir in chicken breasts.  cover and marinate in the refrigerator overnight, turning several times.  preheat your broiler.  heat a grill or castiron pot that will hold the vegetables close to the heat as close to direct direct heat as possible.  if not using heat up the lid, or turn the broiler to high.  when the chickens are done roasting, place them in the grill directly on the gas grill, with the lid attached.  cook the vegetables on high without the lid for 23 minutes.  after the chicken is done cooking, remove the skins and bones and skin from the chicken.  turn off hot coals.  let cool on a rack.  to serve, arrange each chicken breast on a platter.  spoon about 1 cup of the chicken mixture on each of the plates.  serve with chopped chile pepper and shaved fresh ginger. 


",Ginger Chicken Fondue
21,"tea,guacamole,fennel seed,golden raisin,szechuan peppercorn,white sugar,fenugreek",, 2 1/2 cups white sugar | 1 tablespoon szechuan peppercorns | 4 whole peppercorns | 3 whole black peppercorns | 1/2 cup tea | 3/4 cup golden raisin | 1 cup golden raisin | 1/4 cup white vinegar | sweetened tea bag or ice cubes ," in a large serving bowl combine white sugar, all spices together and mix well.  add peppercorns, tea and whole peppercorns.  in a separate bowl toss with raisins and white vinegar.  chill or place in refrigerator for several hours or as best as you can to keep them from becoming black.  note  if you can keep it in a sealed container, its ok if you use a wooden spoon instead.  the sugar can be stored or pressed and mixed at the table.  you can refrigerate for up to 2 weeks.  serve in containers with tea bags, ice cubes, and garnishes.  also, if youre not using ice cubes  you can put all the ingredients for serving in a bowl.  the amount of ingredients depends on how much sugar you use and how many tea bags it has already filled, it doesn't really matter to you.  if the mixture doesn't fill the bowl it will make the drink much sweeter. 


",Spiced Peppercorn Fenugreek Salad
22,"black bean,peach,guacamole,lasagna noodle,italian tomato,mustard seed,orange zest",," 10 lasagna noodles | 3/4 lb bacon, diced ( i used bacon-flavored pork and it turned out great ) | 6 large eggs, lightly beaten | 6 tablespoons extra virgin olive oil, divided | fresh ground black pepper, to taste | 2 medium tomatoes ( chopped ), diced | 1 medium red onion, chopped | 1 garlic clove, diced | 1 can black beans, drained | 6 ounces frozen italian-style ripe olives, thawed | 8 ounces sliced mozzarella cheese | 1/3 cup toasted peaches, sliced | 1 teaspoon extra virgin olive oil, divided | 1/4 teaspoon prepared mustard seeds | 1/4 teaspoon dried oregano | 1/2 teaspoon crushed red pepper | sliced orange zest "," preheat oven to 450f.  lay 2 lasagna noodles in bottom of a 13x9inch baking dish.  top each with 1 tablespoon of bacon and egg, then half the tomato, onion, garlic, beans, olives, and remaining bacon.  sprinkle evenly with remaining  can of olives and 12 teaspoon of pepper.  repeat top of lasagna with remaining ingredients.  pour enough olive oil into a large pot to cover the bottom of the pan.  place 2 teaspoons olive oil over skillet to coat bottom of pan.  over medium heat, add the mustard seeds.  fry until golden, 3 to 5 minutes.  stir in oregano, red pepper, and orange zest.  stir in 14 cup of reserved sauce and salt.  place in baking dish.  repeat layers.  sprinkle 2 to 3 more teaspoons olive oil over baking dish.  cover baking dish and bake 35 to 45 minutes or until cheese is melted. 


",Aunt Julia Child's Best Italian Lasagna
23,"pineapple juice,coconut milk,amaretto,farina,greek olive,golden raisin,ice water",," 2 cups ice water | 1 cup whole pineapple juice ( about 2 oranges, peeled and chopped up about 1-1/2 cups ) | 1 tablespoon honey | 3/4 cup greek olives, chopped, divided | 2 tablespoons dark rum | 1/4 cup orange juice | 1 tablespoon crushed pineapple, plus 1 tablespoon extra-virgin rum for garnish | 1/2 cup golden raisin | 1/2 cup amaretto, plus 1 tablespoon extra-virgin rum for garnish | 1 cup fresh mint leaves, chopped "," to make the fruit in a blender, add 2 tblsps.  of icewater ; puree until smooth.  strain into a large saucepan.  over medium heat, bring to a boil, shaking the pan to reduce heat.  once mixture has cooled 5 to 10 minutes, remove from heat and stir in the pineapple juice and juice from the oranges.  stir gently to blend in the rum.  cool syrup in a cocktail shaker for 1 to 2 minutes, then strain into a large pitcher.  in a small bowl, combine the remaining 2 tblsps.  of icewater with the honey, the olives, the rum, half of the orange juice, rum, half of the pineapple, and 1 tblsps.  of rum ; stir gently to combine. 


",Tarte De Cassis Dessert (Cherry)
24,"pork steak,bay leaf,water,vegetable shortening,onion soup mix",," 2 lbs pork steaks, cut in 1-inch pieces | 1/2 cup vegetable shortening | 1 -2 bay leaf | 1/2 cup water | 1/2 lb onion soup mix ( homemade is ok! ) or 1/2 lbs chow mein noodle ( homemade is ok! ) "," put all ingredients in blender, except soup mix, until smooth.  serve hot, garnished with bay leaf and serve. 


",Pork and Sausage Soup
25,"green onion,chicken breast tender,rose water,beef,cayenne pepper,red pepper,saffron,red potato",," 2 tablespoons cayenne pepper | 2 tablespoons cinnamon | 3 cups diced red peppers | 1 cup diced celery | 1 cup diced red onion | 1 can diced tomatoes | 1 can green onions, chopped fine | 2 cans beef stock | 2 cans diced green chilies ( such as cajun or spanish-style ) | 2 teaspoons sugar | 2 teaspoons chopped saffron | 1 teaspoon ground mustard | 1 teaspoon finely ground cinnamon | 1 large carrot, cut thick and cut into 1/2-inch cubes | 2 ounces cherry tomatoes, coarsely chopped "," combine first 7 ingredients ; set aside.  season stew with cinnamon, red pepper, celery, and onion and refrigerate for at least 2 hours. 


",Creamy Beef Stew
26,"yeast,cream chicken soup,wooden",," 1 1/2 lbs ground beef | 1 cup brown sugar | 2 teaspoons salt | 1/4 teaspoon ground cinnamon | 1/4 teaspoon ground cloves | 1/4 teaspoon ground black pepper | 1 can whole kernel corn, drained | 4 eggs, beaten with lemon juice | 1 can cream of chicken soup | 1 teaspoon instant yeast | 2 tablespoons water | 2 tablespoons finely chopped tomatoes | 3/4 cup chopped fresh wooden pieces or 1/4 cup frozen corn kernels ( optional ) "," mash ground beef, brown sugar, salt, spices, and corn kernels together.  add corn and eggs to the mashed beef, mixing thoroughly, and then pour into an 8quart crockpot.  in a small bowl, beat the egg yolks with 2 teaspoons water with an electric mixer until soft peaks form.  stir in the cream of chicken soup, yeast, and remaining water.  pour over the flour and add the remaining water, bring to a boil and pour over the meat and corn mixture.  cover and cook on low for 79 hours or until mixture is very thick and bubbly, stirring occasionally.  check the amount of water you are adding, adjust seasoning, and cook the additional amount of time to keep from soggy, not bubbling up. 


",Poppy's Crockpot French Mashed Pot
27,"wasabi powder,italian cheese,romano cheese,peppercorn,sun tomato oil",," 1 tablespoon chopped sun-dried tomato packed and dried rosemary | 2 teaspoons italian cheese, shredded | 4 1/2 - 8 ounces italian dressing | 2 teaspoons peppercorns | 2 packages refrigerated isabi powder "," heat oven to 375 degrees.  spray a 10x11 inch jellyroll pan by placing the sun dried tomatoes in the center of each jar ; press firmly with palm of hand to compress.  arrange half the cheese mixture on top of the tomatoes, leaving one or two layers in the bottom of the pan.  roll jar over mixture.  sprinkle with remaining cheese ; repeat with remaining tomatoes and cheese.  bake for 10 minutes or until cheese is nicely browned. 


",Wasabi & Sun-Dried Tomatoes
28,"icing sugar,flat leaf parsley,red wine,sage leaf,ice water,red potato",," 6 red potatoes, quartered lengthwise ( about 1 1/3 pounds ) | 1 cup ice water | 1 1/2 tablespoons white vinegar | 1 large red onion, thinly sliced ( or green onions ) | 1 garlic clove, thinly sliced | 6 dried sage leaves, soaked overnight in ice water, drained and chopped | 1/2 cup lemon-roasted blanched almonds, peeled and roughly chopped | 1 tablespoon fresh flat leaf parsley, minced ( or 2 whole sprigs ) | 1/2 cup freshly squeezed red wine | 1/2 teaspoon cracked black pepper "," in a large saucepan, bring water to a boil over high heat ; cook potatoes, uncovered, for 6 minutes, stirring occasionally to loosen skins ; transfer to a colander to cool.  add ice water to the saucepan and bring to a boil.  cook and stir onion, garlic, and sage for 2 minutes, stirring constantly.  add the vinegar, vinegar, the onion mixture, lemonradoind soaking water, almonds and apples ; bring to a boil ; reduce heat, cover pan and simmer for 1 hour, stirring occasionally, until the onion is softened.  stir in wine and pepper to taste ; refrigerate until set, about 30 minutes.  remove saucepan from the heat and strain into a bowl to cool to room temperature.  in a saucepan, heat 12 cup white vinegar about 1 - 12 tablespoons over high heat until reduced by about half ; return to a boil, whisking continuously.  add the black pepper to the liquid and stir just until dissolved.  continue cooking until mixture is a thin, glazey layer of glaze, about 30 seconds more.  remove pan from heat and cool slightly ; brush remaining glaze with remaining wine.  in a large bowl, whisk 2 tablespoons finely chopped fresh sage and 2 tablespoons chopped fresh flat leaf parsley.  dip the potatoes in the glaze in the reserved sauce, then coat lightly with the glaze ; refrigerate, covered, overnight.  preheat oven to 350 degrees f 175 degrees c.  lightly oil a small pie plate, and line the bottom of the pie plate with 4 to 5 slices of the red potato ; lay the slices on the prepared prepared pie plate ; sprinkle with 2 slivered almonds and dot with remaining glaze.  bake until the slices are golden brown and the almonds are beginning to brown, 50 to 60 minutes.  brush a small cutting board or a clean cookie sheet with water, and place a sheet of baking paper over top.  let the potatoes cool completely, then carefully remove paper from the board or sheet.  to serve, cut in half and spread top slices with the red potatoes, top remaining slices with additional almonds on top and serve immediately. 


",Lemon-Roasted Red Potatoes Appetizer
29,"ginger paste,seasoning salt,olive oil,oyster sauce",," 12 ounces ginger ale | 3 tablespoons oyster sauce | 2 tablespoons water | 1 tablespoon cornstarch | 1 1/4 teaspoons seasoning salt | 1 tablespoon crushed garlic clove | 1/4 cup olive oil | 1/4 cup sliced black olives, toasted "," mash ginger ale and bring to a boil in a saucepan, add water, cover and simmer 5 minutes.  remove from heat ; stir in next 5 ingredients and cook until thickened.  store in the fridge. 


",Spicy Gingerbread
30,"yellow pea,cheddar cheese,walnut oil,chicken thigh,orange soda",," 6 skinless, boneless chicken thighs | 2/3 cup yellow cornmeal | 1/2 cup firmly packed yellow pea pods | 10 ounces cooked chicken thighs, diced | 1/4 teaspoon orange soda | 1 jar roasted peanuts or 1 cup walnuts oil "," heat oven to 350 degrees f 175 degrees c.  prepare a 9 inch glass baking pan with oil.  slice chicken into chunks on the diagonal.  cut chicken into chunks on the diagonal lengthwise.  pour yellow pea pods, cornmeal, and peas into boiling over boiling water ; reduce heat to simmer.  simmer an additional 1 to 2 minutes or until peas and pea pods are tender.  drain chicken, discarding broth.  drain chicken on paper towels.  meanwhile, place chicken and browned chicken in bottom of prepared pan, overlapping to evenly coat.  pour in orange water mixture and cook another 2 minutes.  pour peanuts or walnuts oil over top of chicken and chicken.  sprinkle lightly with reserved pea pods and serve. 


",Orange Cheesecake
